,exercise
322,Sandbag Get Up w/ Lumberjack Press *****
323,Dumbbell Bench Press (Drop Set)
324,"Hanging knee raise, twisting"
325,Landmine Twist
326,Barbell Front Raise 
327,Cable Shrug
328,Single arm cable curls
329,Dumbbell Split Squat
330,Pullover
331,Decline Weighted Twist
332,Rope Climb (x1) or Towel Chins
333,Standing Single Leg Calf Raise
334,"20:00
Dinner"
335,Terminal Knee Extension
336,Dumbbell Bulgarian Split Squat
337,A1: Standing Barbell Shoulder Press
338,Resistance Band Lat Pull Down
339,Alternate Seated Dumbbell Curl
340,Dumbbell Kickbacks 
341,Standing Single Arm Lateral Raise
342,Push-ups
343,Burpee to Pull Up
344,Stiff Leg Deadlift
345,Underhand Grip Bent Over Row
346,"Tri-set: Incline barbell bench press, Wide-grip pull-up and push-up"
347,Reverse Hyper Extension (on Swiss Ball)
348,Band Reverse Fly
349,Forearm Wrist Curl
350,Dumbbell Walking Lunge *
351,Barbell Good Morning
352,Calf Raise
353,Superset - Bench Dips
354,Wide-Grip Lat Pulldown
355,95% of 1RM
356,Suspension Supine Row
357,Incline Dumbbell Bench Press - Muscle
358,Sumo RDL
359,One Arm Seated Dumbbell Extension
360,Stacked One Arm Row (AMRAP & Switch Arms)
361,Standing Dumbbell Front Raise
362,Front Squat or Leg Press
363,Banded Good Morning
364,Front Delt Raise
365,Single Arm Overhead Kettlebell Walking Lunge
366,Seated Wrist Curls
367,Bent Over Lateral Raise with a Twist
368,Squats: Add 5lbs and perform 5x3 reps with 60 seconds rest between sets
369,Feet Elevated Push
370,Underhand Lat Pull Down
371,Horizontal Cable Biceps Curl
372,Ab Bicycle
373,Standing Upright Row
374,Close Grip Push Up
375,Split Stance Belly Press
376,Plank to Hip Raise
377,Pec Minor Dip
378,DB Goblet Lateral Lunge
379,2 to 3 Back Exercises of Choice
380,GHR Sit Up
381,Goblet Sumo Squat
382,T-Bar Row
383,Flat bench barbell press
384,Cable Hammer Curl
385,One-leg calf raise
386,Lying Tricep Extensions
387,Medicine Ball Front Squat
388,Skips
389,Rope Triceps Pushdown
390,Bench Press 
391,Machine Shrug
392,Single Leg Press
393,45 Degree Calf Raise  - Burn
394,Medicine Ball Roll Outs (from knees)
395,Set 14
396,Medicine Ball Sit Up to Leg Extension
397,Weighted Wall Sits
398,Sprints (at least 20 yards)
399,Lying Dumbbell Triceps Extension
400,"Combo #1:
Jab/Cross/Left Leg Roundhouse"
401,Tricep Pushdown (Using EZ or cambered bar)
402,Russian Twists
403,Dumbbell Flye or Cable Crossover - Pre-Fatigue
404,Incline Flys
405,High Elbow Row
406,Deadlifts with Chains
407,8
408,Bench Press - Week 1
409,High Cable Curl
410,Lower Body Sled
411,Barbell Reverse Lunge
412,A1: Incline Smith Machine Chest Press
413,Barbell Curl or Pinwheel Curl
414,Adductor Machine
415,Plank Right Foot Raises
416,Week 10
417,Cable Crunch
418,Pause Back Squat*
419,Rear Lunge
420,Cable Crunch 
421,Turkish Get Up (Alternate each side)
422,Smith Machine Squats
423,Close-Grip Bench
424,Diesel Row
425,Rock Grip Pull Ups
426,45 Degree Leg Press
427,Seated Low Cable Row
428,Cable Rope Crunch
429,Box Jumps
430,10 Inch Box Squat
431,Leg Press - Burn
432,Rope Curls
433,Wall Sits w
434,Reverse Grip Pushdown
435,Dumbbell Bicep Curl
436,Seated Dumbbell Side Lateral
437,Wide-Grip Pull-Up (warm up 2x12 on Lat Pull Downs)
438,Running - High Knees
439,Superset: Standing Calf Raise and Seated Calf Raise (Rest 45 seconds between moves and 75 seconds between rounds)
440,Dumbbell Hammer Curls
441,100% of 1RM
442,"Machine Bicep Curl - Last set, drop set"
443,Tire Flips
444,Hang Snatch 
445,Seated Calf Raise (30 seconds rest between sets)
446,Rope Cable Curl
447,Hammer Machine Incline Press 
448,Hammer Strength Flat Press
449,Heavy T
450,3 Second Eccentric Chin Up
451,Barbell back squat
452,Butt Kicks
453,Swiss Ball Crunch
454,Close Grip Preacher Curl
455,Ab Crunch Machine
456,Crossover
457,Neutral Grip Cable Row
458,Banded or dumbbell curl and banded or dumbbell kickback
459,Hyperextensions**
460,3 Second Eccentric Bench Press
461,Decline Weighted Sit Up
462,Bench Dips (Put plates in your lap to add resistance; only 45 sec rest between sets)
463,Superset - Front Laterals
464,Standing alternating hammer curls
465,Single Leg Dumbbell Calf Raise
466,Dumbbell Serrano Press
467,Skullcrusher or Cable Pressdowns
468,BB Flat Bench Press*
469,Bodyweight Skulls
470,Triceps Rope Pressdown
471,Incline Bench Barbell Press
472,Barbell Curl or Standing Dumbbell Curl
473,Superset: Incline Dumbbell Curl & Overhead Dumbbell Tricep Extension
474,Butt Kick Jumps
475,Side Plank (Max time per side)
476,Dumbbell Single Leg Squat to Box 
477,Superset - Upright Rows
478,Superset - Barbell Row
479,Reverse Fly Machine
480,Smith Squats
481,Cable Reverse Curl
482,Neutral Grip Lat Pull Down
483,Heavy Dumbbell Row
484,2A: TRX Triceps Extensions
485,One-Arm Dumbbell Row
486,Superset - Cable Tricep Extensions
487,Seated Bent Over Rear Delt Fly
488,Hang Clean
489,BB Incline Press
490,Overhead Barbell Shoulder Shrug
491,Superset: Barbell Hack Squat and Sissy Squat ** (Rest 60-75 seconds between moves and 75-90 seconds between rounds)
492,IT Band Foam Roller
