,exercise
2302,hang clean 
2303,set 8
2304,skull crushers 
2305,standing dumbbell reverse curl
2306,close grip bench pressdips choose 1 rotate weekly
2307,two arm seated dumbbell extension  burn
2308,tbar row or twoarm db row
2309,seated row
2310,cable tricep extensions
2311,front plank
2312,shoulders  2 exercises
2313,one arm kickback
2314,box jumps
2315,single leg deadlift
2316,lateral power skips 
2317,jump squat or box jump
2318,half kneeling cable chop 
2319,straight arm pulldowns
2320,seated bent over rear dumbbell lateral
2321,chest dips weighted if possible
2322,bent over row  week 1 any rep range can be used
2323,wide grip lat pulldown
2324,wide grip lat pulldown or wide grip pullup
2325,side crunches on roman chair
2326,closegrip pullup
2327,plank jacks to in
2328,stiff leg deadlift  working sets
2329,split squat jump
2330,trap bar or barbell rack pull
2331,smith bench press with bands
2332,1 arm cable row
2333,one arm dumbbell row
2334,swiss ball circles
2335,standing alternating dumbbell curl
2336,1 arm dumbbell row
2337,wide grip upright barbell row
2338,z press
2339,bodyweight squat jumps
2340,hammer strength chest machine
2341,glute kick backs
2342, set 3 at 70
2343,one arm kettlebell floor press
2344,low incline fly
2345,liss cool down
2346,supine figure 8s to the left
2347,close grip resistance band pull down
2348,triceps rope pressdown
2349,leg curl   muscle
2350,standing barbell push pressburpee
2351,feet elevated push up
2352,machine pec deck
2353,weighted twisting sit up
2354,lying hamstring curls
2355,plank with overhead cable row 
2356,dumbbell flys  burn
2357,rfess 
2358,hamstring bridge
2359,swiss ball crunches
2360,walk
2361,oblique twist
2362,right leg roundhouse
2363,waist  naval inches
2364,med ball squat
2365,dumbbell lunge 8 reps each leg
2366,upper body sled
2367,dumbbell arnold press
2368,machine row  warmup 80
2369,single leg curl
2370,pull ups or lat pull down
2371,90 degree side barbell preacher curl
2372,cable pressdown
2373,feetelevated push ups 511 tempo
2374,incline dumbbell curl
2375,seated leg curl
2376,weighted single leg calf raises
2377,rope pull downs
2378,narrow stance leg press
2379,pause bench press  7580
2380,stability alternates
2381,tall kneeling vertical pallof press
2382,barbell overhead press
2383,underhand grip bent over row
2384,hammer strength pull down
2385,bench press or dips
2386,chin up add weight if you can do 15 reps
2387,weighted dips add weight when you can total 35
2388, set 6 at 100
2389,weighted chin up
2390,standing banded hip abduction
2391,rear delt flyes with pause
2392,pull up
2393,standing calf machine
2394,dumbbell front raise
2395,reverse grip pull down
2396,incline bench press   muscle
2397,cable crossover super set with push ups
2398,plank with feet on bench
2399,windshield wiperplank
2400,side oblique crunch each side
2401,cable overhead tricep extension
2402,dual rope overhead extension
2403,weighted jump squat
2404,dumbbell single leg squat to box 
2405,tricep extensions
2406,incline bench dumbbell curl
2407,narrow grip t
2408,shadow box
2409,landmine rdl
2410,box squat bench shown in video
2411,kettlebell swing
2412,band front raise
2413,tricep dips weighted if possible
2414,walking lunges 
2415,overhead cable extension
2416,negative chinups
2417,single leg curls  each leg 
2418,ab wheel rollouts
2419,squat 1
2420,pike push up
2421,seated one arm dumbbell overhead extension
2422,the skull crusher gauntlet
2423,power shrugs
2424,rope cable curls
2425,partial side lateral raise
2426,side lateral raise superset with bent over reverse flye
2427,dumbbell shrug 1 second pause at top
2428,front squat 
2429,rope crunches
2430,10 in box front squat
2431,superset banded flat bench fly or pushup and inverted row
2432,smith machine bench
2433,pec dec  warmup 80
2434,weighted sit ups 
2435,deadlifts with chains
2436,landmine squat
2437,narrow grip push ups 2113 tempo
2438,lat pulldown 
2439,skullcrusher or cable pressdowns
2440,chin up or resistance band pulldown
2441,flat bench dumbbell pressjump squat
2442,incline dumbbell shrug
2443,30 secs
2444,dumbbell bench press on the floor
2445,rack lat stretch
2446,partial deadlift
2447,reverse pec dec
2448,standing lat row
2449,rope climb x1 or towel chins lposition
2450,barbell snatch grip deadlift
2451,"18001930
workout"
2452,side squat
2453,reverse lunges
2454,ball leg curls or glute
2455,plate chops
2456,jog
2457,smith machine bentover row
2458,biceps and triceps
2459,incline smith machine bench press
2460,half turkish get up
2461,pendlay row warmup
2462,hack squats
2463,cable hammer curls with rope
2464,bench step ups
2465,french press
2466,standing on one foot hammer curls
2467,lying triceps extension
2468,superset  squats
2469,horizontal leg raise floor
2470,triset hanging leg raise 3way plank and jump rope or mountain climbers
2471,barbell romanian deadlifts
2472,reverse grip cable curl
2473,trx triceps extensions
2474,single arm overhead tricep extension
2475,neutral grip pull up
2476,medicine ball plank from knees
2477,smith incline bench press with bands
2478,a1 incline smith machine chest press
2479,band reverse fly
2480,incline dumbbell curls
2481,week 1
2482,2a parallel bar or bench dips
2483,single lying leg curl
2484,seated rear delt fly machine
2485,military press aka overhead press
2486,wrist curl
2487,treadmill jog
2488,banded overhead extension hold stretch for 4 seconds
2489,weighted side bend
2490,seated lateral raise
2491,bench press  power
2492,seated calf raise  muscle
2493,front squat
2494,dumbbell or machine lateral raise
2495,swiss ball crunch
2496,lateral lunge
2497,incline bench serrano press
2498,deadlift 60 of 1rm
2499,weight plate front raise
2500,incline bench dumbbell pressbox jump
2501,standing ez bar front raise
2502,barbell front raise  muscle
2503,paused bench press or close grip bench press
2504,jm press
2505,walking
2506,dumbbell fly
2507,abdominal air bike see instructions
2508,wide grip pullups
2509,incline bench press machine
2510,incline ez bar skullcrusher
2511,machine shoulder press w palms facing inward
2512,bent over rows
2513,push ups to punches
2514,platform lunge
2515,dumbbell hamstring curl
2516,dumbbell hammer curls
2517,leg extensions 
2518,side plank with cable row
2519,chinups any grip
2520,standing upright row
2521,bodyweight curtsey lunge
2522,thoracic twist
2523,standing high pulley cable fly
2524,heavy t
2525,10 inch box squat
2526,singleleg trx squat
2527,dumbbell flyes or pec dec
2528,squat  power
2529,tuck jumps
2530,cable overhead extension 
2531,heel elevated one  a quarter band squats
2532,pause bench
2533,30 yards
2534,squat  95
2535,decline bench press
2536,13
2537,nordic hamstring curl
2538,arnold dumbbell press
2539,single arm face pull
2540,single arm preacher curl
2541,bench press on swiss ball if available
2542,dumbbell pressbarbell front raise superset
2543,stationary lunge
2544,overhead cable extensions
2545,a2 low incline dumbbell flys
2546,high bar back squat
2547,incline dumbbell flys
2548,pull up add weight if you can do 15 reps
2549,push press
2550,dumbbell side bench
2551,superset  weighted situps
2552,glute bridge
2553,squats ramped
2554,overhead press working up to a 95 single
2555,standing overhead press  80
2556,half squat from bottom position
2557,power barbell shrugs  power
2558,sumo rdl
2559,lying dumbbell extension
2560,underhand grip smith row
2561,14
2562,machine rows
2563,flat dumbbell fly
2564,kettlebell split squat
2565,machine preacher curl
2566,bodyweight row
2567,reverse machine fly
2568,incline dumbbell bench
2569,overhead triceps extension
2570,1 arm row
2571,db front raises
2572,barbell flat bench press
2573,leg extension triset  increasing weight 
2574,oblique push up
2575,reverse hyper extension
2576,half kneeling belly press
2577,close grip incline bench press
2578,low incline dumbbell fly
2579,glute bridge singlearm kettlebell bench press
2580,cable crossover tricep pushdown
2581,4a weighted single leg calf raise
2582,heavy deadlift
2583,barbell ab roll out
2584,reverse machine press
2585,behind the back upright row
2586,frog jumps
2587,one arm cable curls
2588,alternating incline curls w5 second twist
2589,plie squats
2590,triset  decline dumbbell flye
2591,belt squat
2592,underhand slant rows
2593,walking lunge 
2594,swiss ball plank
2595,finisher
2596,dumbbell flye or cable crossover  prefatigue
2597,standing cable wood chop
2598,front squat or safety bar squat
2599,leg raises
2600,wide unilateral dumbbell row
2601,standing dumbbell curl
2602,cable crunch  burn
2603,closegrip bench press
2604,machine chest press
2605,barbell roll outs
2606,lunge squat
2607,lat pull downs
2608,vertical pull
2609,cable tricep extensions  working sets
2610,0730
2611,deadlift  power
2612,b1 trx curls
2613,steam engine twists
2614,lying bench leg raise
2615,leg press  burn
2616,extended plank dumbbell row 
2617,single arm cable pulldown
2618,of 1rm
2619,lat bar face pull
2620,dumbbell stiff leg deadlifts or glute ham raise
2621,landmine press
2622,dumbbell sumo deadlift
2623,standing military press
2624,"1730
pre workout"
2625,smith machine lunge
2626,weighted feet elevated suspension supine row
2627,x jumps
2628,15 secs
2629,1  landmine squat
2630,superset bulgarian split squat and reverse lunge
2631,stiff arm pull down
2632,upright row
2633,incline bench press warmup
2634,incline bench press
2635,push up knees  10 sec 3
2636, ring inn  outs
2637,reverse crunch
2638,static barbell hold
2639,assisted push up
2640,dumbbell split squat
2641,front laterals
2642,one arm lat pulldowns
2643,one arm reverse fly
2644,two
2645,safety bar or front squat
2646,front squats  week 2
2647,ab wheel
2648,vacuums
2649,bb flat bench press with 40x0 tempo
2650,underhand pull down
2651,left leg roundhouse
2652,seated barbell press  power
2653,tricep machine
2654,weighted back hyperextension hold
2655,lying knee raises
2656,pullovers 
2657,triset incline barbell bench press widegrip pullup and pushup
2658,alternate dumbbell curl
2659,pull up or rack chins
2660,hip thrust rest 90 seconds between sets
2661,squats 5x3 using the same weight as monday
2662,low plank
2663,standing barbell calf raise
2664,standing dumbbell side lateral raise
2665,half kneeling dumbbell alternating overhead press 
2666,lying side laterals
2667,2 squat pulses to squat
2668,pull ups
2669,rack triceps press or parallel bar dips
2670,weight holds
2671,squat  muscle
2672,cable upright row
2673,70 of 1rm
2674,flat bench barbell press
2675,wide unilateral lat pull
2676,wall sits
2677,zottman curl pump
2678,alternating bodyweight lunges
2679,lateral bound
2680,wide grip bicep curl
2681,running  high knees
2682,dumbbell bicep curl
2683,stiff leg deadlifts
2684,hip thrusts
2685,dumbbell glute bridge
2686,hang clean
2687,weighted pullup
2688,superset  rack chin
2689,optional exercise 2
2690,band curls
2691,seated machine fly
2692,seated triceps kickbacks
2693,standing high pulley cable curl
2694,pec dec  burn
2695,calf press
2696,hanging straight leg raise
2697,hack squat or leg press
2698,speed trap bar or barbell rack pull
2699,leg raise
2700,leg extensions
2701,low plank hold
2702,seated cable row or machine row
2703,squat jump
2704,two arm seated dumbbell extension
2705,bicycle
2706,reversegrip bentover row
2707,high seated incline bench press or dips
2708,assisted pull ups  lat pull downs superset
2709,fullrange squat
2710,decline tight dumbbell press
2711,lying tricep extension skullcrusher
2712,incline bench press dumbbell or barbell
2713,triceps press
2714,dumbbell flat bench press
2715,smith machine row
2716,decline 2 arm dumbbell extension
2717,smith machine squats
2718,rope climb x1 or towel chins
2719,squat  85
2720,db kickbacks
2721,leg extension  burn
2722,stir the pot
2723,ez bar curl
2724,power cleans
2725,barbell wrist curl
2726,front raise with resistance
2727,ez bar cheat curls make sure your biceps do most of the work
2728,paused front squat
2729,peak contraction dumbbell shrugs
2730,bent over rear delt row
2731,prone hamstring curls
2732,close grip lat pull down
2733,single leg extension
2734,wheel barrow walks on swiss ball
2735,dumbbell 3 second eccentric front squat
2736,banded nordic hamstring curl
2737,rear delt cable crossover
2738,superset flat bench dumbbell press and twoarm dumbbell row
2739,superset split jump squat and goblet squat
2740,paused weighted pushup
2741,dumbbell upright row
2742,jump lunges
2743,incline cable flys
2744,kneeling medicine ball chest pass
2745,lying band leg curl
2746,3 way band pull apart
2747,seated lateral raise  warmup 80
2748,standing band fly
2749,hammer strength lat pulldown
2750,bicep curl
2751,med ball woodchoppers
2752,db row
2753,physioball leg curl
2754,leg press calf raise
2755,tricep pushdown using ez or cambered bar
2756,dumbbell overhead press
2757,sandbag situps
2758,incline bench press  week 2
2759,dumbbell step
2760,bent over barbell row
2761,cable wood chop
2762,1 to 3 biceps exercises of choice
2763,deadlift  working set
2764,paused bench press 8590 of paused max
2765,reverse grip pull up
2766,outer leg raises on mat
2767,dumbbell side lunge
2768,dumbbell goblet squat 
2769,barbell snatch grip deadlift use 20 less weight than your previous working sets
2770,glute bridge or 
2771,heel raise
2772,leg press 
2773,bmi using navy calculation 
2774,bicep curl with squat
2775,reversegrip pullup
2776,weighted pull ups  week 2
2777,hammer strength shrug
2778,standing press
2779,barbell rdl
2780,high cable curl
2781,alternating plyo push up w
2782,dumbbell goblet squat
2783,machine seated knee raises
2784,weighted jumps
2785,diamond hands close pushups
2786,push up with feet elevated or feet on wall push up
2787,incline bench curlab crunch
2788,cable laterals behind the glutes
2789,machine twisting crunches
2790,floor dumbbell press
2791,close grip bench press 
2792,barbell floor deadlift or barbell back squat
2793,overhead squats
2794,reverse cable fly
2795,light controlled slow upright rows with a cambered bar
2796,bench press  military press alternate
2797,tricep iso
2798,front raise
2799,superset  bent over rear laterals
2800,seated chest press drop set
2801,single arm kettlebell deadlift
2802,barbell curl or standing dumbbell curl
2803,dumbbell overhead extension
2804,decline dumbbell fly
2805,standing overhead barbell press
2806,pikes layouts on swiss ball
2807,lateral hurdle hops
2808,sled or cable pull through
2809,dumbbell pullover
2810,clapping push ups
2811,close grip pull downs
2812,row machine
2813,full range crunches
2814,seated lateral raise  working sets
2815,hammer strength lat pull down
2816,banded leg curl
2817,ball slams
2818,split stance belly press
2819,one arm cable rear delt fly
2820,3 second eccentric pull
2821,incline dumbbell tricep extension
2822,vogelpohl sit up
2823,speed skater
2824,banded single leg good morning
2825,seated dumbbell calf raise
2826,weighted crunch
2827,lying dumbbell triceps extension
2828,cable extensions with rope
2829,tall kneeling cable lift 
2830,cambered bar pressdown
2831,assisted pull ups
2832,set 3
2833,prone dumbbell incline curl
2834,incline dumbbell bench press at 1525 degree angle
2835,flyes
2836,band single arm curl
2837,lunge jumps
2838,one arm overhead dumbbell extension
2839,diamond push up
2840,hover aka plank
2841,leaning dumbbell lateral raise
2842,leg press  warmup 70
2843,deficit deadlifts
2844,straight bar curls
2845,single leg glute bridge 
2846,rack deadlifts
2847,leg extension 
2848,dumbbell biceps curl
2849,1a feet elevated pushups
2850,ring lay outs
2851,running in place
2852,weighted push up
2853,straight arm pull down
2854,dumbbell lying leg curl on the floor
2855,wide grip barbell bentover row
2856,crosses
2857,chest dips or bench dip
2858,barbell curl or pinwheel curl
2859,bodyweight rear lunge
2860,1 leg hurdle hops
2861,triangle push
2862,decline weighted twist
2863,neutral grip chin up
2864,trx suspension supported pistol squat
2865,weighted chinups
2866,push ups between kettlebell handles 
2867,single arm barbell row
2868,hip adduction
2869,assited pull up
2870,narrow stance squats
2871,alternating toe touch
2872,chin ups
2873,weighted chin ups palms towards face
2874,rear leg elevated split squat
2875,seated pullover machine
2876,squats
2877,hack squat machine
2878,10
2879,russian twists
2880,prowler push
2881,static crunch
2882,incline bench press 
2883,incline machine bench press
2884,bodyweight calf raises
2885,speed pause squat
2886,dumbbell reverse lunge
2887,lying leg raise
2888,dumbbell shrugs  warmup 80
2889,110 of 1rm
2890,dumbbell crush press
2891, burn out failure
2892,push ups with feet on bench
2893,pendlay barbell row
2894,sprints
2895,bent leg trunk twist
2896,bodyweight bulgarian split squat
2897,reverse grip cable tricep extension
2898,bicep hammer curls
2899,bench press shrug
2900,forearm or grip work
2901,close grip bench press  power
2902,reverse hyper extension 
2903,1b medium or widegrip pullups
2904,vbar cable curls
2905,upright rowbarbell shrug superset see notes
2906,incline 2 arm overhead dumbbell extension
2907,weight lbs
2908,tall kneeling cable chop 
2909,trx curlseated vup
2910,seated chest press
2911,onearm dumbbell row
2912,35 of 1rm
2913,bulgarian split squat
2914,barbell row ramped
2915,standing dumbbell upright row
2916,barbell walking lunge
2917,standing chest fly 2 sec hold
2918,high band biceps pose curl hold stretch for 4 seconds
2919,machine adduction
2920,turkish get up
2921,dumbbell serrano press
2922,close grip push ups
2923,x lunges holding dumbbells
2924,band leg curl
2925,ab wheel or barbell rollout
2926,smith machine split squat
2927,heavy conventional stance deadlifts  week 1
2928,underhand lat pull down
2929,alternating kettlebell box step ups
2930,upright row or seated dumbbell press
2931,ez bar curls  pump sets
2932,superset  military press
2933,tricep rope pushdown
2934,band pushup
2935,pushup 2 sec hold
2936,underhand grip seated cable row
2937,adductor machine
2938,barbell row 5x5 or dumbbell row 3x610
2939,decline dumbbell sit up
2940,kettlebell goblet squat
2941,barbell rows or military press
2942,bent row
2943,spider curls
2944,dumbbell tricep extensions
2945,barbell hip thrusts
2946,advanced hover see instructions
2947,overhead lat pull down curl
2948,cable flys
2949,standing military press  week 2
2950,achilles stretch
2951,superset  dumbbell flye
2952,cable curl
2953,rear foot elevated bulgarian split squats
2954,dumbbell plie squat
2955,split squats
2956,single arm pull down
2957,burpee to overhead plate raise
2958,barbell curl 45 seconds rest between sets
2959,neutral grip incline bench press
2960,seated dumbbell front raise
2961,dips 213 tempo
2962,chest dips
2963,preacher dumbbell curl on incline bench
2964,cable pullthrough
2965, serrano press
2966,single standing leg curl
2967,leg press restpause
2968,cable tricep extension  burn
2969,seated zottman curl
2970,straight bar curl
2971,seated upright row machine
2972,tricep cable pushdown
2973,seated cable curl
2974,leg curl last set follow w a drop set
2975,split stance cable lift 
2976,standing cable lateral raises
2977,alternates 
2978,plank right arm raised
2979,saws  forward only
2980,lat pull down finish w drop set as 5th set
2981,t bar or barbell row
2982,seated twist
2983,standing belly press 
2984,barbell or dumbbell shrug
2985,"800
breakfast"
2986,power barbell shrugs explosive
2987,dead bug
2988,side lunges
2989,single leg hip thrust
2990,wood chop reps are per side
2991,barbell bent
2992,banded or dumbbell curl and banded or dumbbell kickback
2993,floor dumbbell fly
2994,superset  barbell row
2995,vsits
2996,hiit sprints
2997,incline dumbbell curl 45 seconds rest between sets
2998,dumbbell rear foot elevated split squat 
2999,inverted underhand rows
3000,seated calf raises  warmup 80
3001,toes to bar
3002,v bar pushdown
3003,eccentric only dips
3004,sit
3005,alternating lateral raise
3006,superset  stiff arm lat pull down
3007,flat barbell bench press
3008,strict curl see notes below
3009,lying wide grip cable curllying close grip cable curllying reverse grip cable curl
3010,forward lunge
3011,band hammer curls
3012,bicep curl with rear resistance
3013,bent over dumbbell curls
3014,decline dumbbell tight press
3015,barbell 21s
3016,bar
3017,bench v
3018,b2 parallel bar triceps dips
3019,seated dumbbell lateral raises
3020,unilateral reverse tricep extension
3021,knee ups
3022,superset standing barbell shoulder push press  rear delt rope pull
3023,assisted nordic hamstring curls
3024,2 board close grip bench press
3025,single arm cable lateral raise
3026,hyper extension 
3027,band face pulls
3028,side lateral raises
3029,standing or seated calf raise
3030,flat bench dumbbell fly
3031,external  internal cable rotation and standing db rotation
3032,assisted chin up
3033,finger lock chest pull
3034,kroc row 2 warm up sets then 1x20 as heavy on these as possible without straps
3035,lunge punch
3036,pushups 
3037,barbell hip press
3038,wall balls
3039,incline cable fly
3040,barbell front raises
3041,two arm cable tricep kickback
3042,superset 3way pushup and chesttobar pullup
3043,single arm resistance band pull down
3044,one arm standing kettlebell press
3045,press 
3046,push up w
3047,3b reverse lunges
3048,bodyweight chin up
3049,a3 push ups with feet elevated
3050,push ups 231 tempo
3051,crunches on a flex ball
3052,reverse bear crawls
3053,suspension supine row
3054,power barbell shrugs  burn
3055,decline weighted crunches
3056,leg curl
3057,medium grip pull up
3058,band bentover row
3059,quad walk
3060,feet
3061,straight bar tricep pressdown
3062,serrano press
3063,push ups  superset 3
3064,dumbbell single arm row
3065,low cable flys
3066,rear delts on pec dec
3067,incline elbows out dumbbell curl
3068,standing dumbbell row
3069,seated calf raises
3070,week 10
3071,standing single leg calf raise
3072,cable crunch 
3073,standing suspension roll
3074,barbell romanian deadlift
3075,cable chest fly
3076,heavy sumo stance deadlifts  week 2
3077,superset heels elevated barbell squat and glute ham raise rest 6075 seconds between moves and 7590 seconds between rounds
3078,superset  machine row
3079,zottman curl
3080,walking stretch
3081,elbows out dumbbell extension
3082,incline bench dumbbell press or incline hammer strength press
3083,chest press and row
3084,barbell shrug 1 second pause at top
3085,assisted dips
3086,1arm rows dumbbell or barbell
3087,bicycle crunches
3088,toes to bar or hanging knee raises
3089,kneeling hamstrings
3090,superset  pull ups
3091,forearm wrist curl
3092,machine row
3093,tricep press downs
3094,resisted jump throughs 
3095,leg lifts
3096,leg press calf raise  burn
3097,mountain climbers
3098,inside leg raises
3099,week 2
3100,dumbbell pull over
3101,hammer strength press or smith press
3102,lying dumbbell tricep extensions
3103,extended plank lateral arm raise 
3104,pull
3105,set 2
3106,jump split squats
3107,incline dumbbell curl bench 3040 degrees
3108,reverse hyper extension on swiss ball
3109,seated arnold press  muscle
3110,side lying clams
3111,chest dips or db bench press or incline bench press
3112,sled drags
3113,leg extension triple drop set
3114,torso elevated lying leg curl
3115,machine tricep dip
3116,plank positions
3117,dumbbell lateral raises finish w drop set as 4th set
3118,dumbbell lateral raise
3119,underhand grip bent row
3120,incline skull crushers
3121,kettlebell lateral lunge
3122,decline db press
3123,triceps pushdown
3124,side lateral
3125,seated dumbbell lateral raise
3126,banded glute bridge
3127,tricep pulldown with resistance
3128,seated machine lateral raise
3129,squats  80
3130,weighted hammer
3131,stability alternates knees or swiss ball
3132,dragon flag
3133,mediumgrip chinup
3134,dual rope tricep extension
3135,dumbbell walking lunge
3136,single leg dumbbell deadlift
3137,hammer machine incline press 
3138,superset  hack squats
3139,kneeling incline cross
3140,cable pushdowns
3141,crossover
3142,incline db press
3143,get ups
3144,single arm kettlebell fly
3145,pinwheel curl  power
3146,pec dec after last set drop weight and immediately do a 4th set
3147,dumbbell floor fly
3148,superset  two arm dumbbell preacher curls
3149,half kneeling cable row 
3150,wide grip cable upright row
3151,leg curls 
3152,side plank with hip dip
3153,tricep bar pushdown
3154,superset incline dumbbell curl with overhead dumbbell triceps extension
3155,standing barbell tricep extension
3156,body saw
3157,plank 
3158,band fly
3159,one arm tricep extension
3160,tricep pushdown
3161,machine bicep curl  last set drop set
3162,decline hammer machine press
3163,pikes shins on swiss ball
3164,dumbbell bent
3165,close grip t bar row
3166,incline dumbbell fly
3167,neutralgrip pulldowns
3168,vbar pull down
3169,superset  upright rows
3170,narrow grip low pulley cable row
3171,leg pressleg extension superset
3172,10 inch box squat 
3173,ring inn  outs
3174,power barbell shrugs
3175,one arm kettlebell row
3176,high elbow row
3177,shrug with hold
3178,swiss ball dumbbell press see instructions
3179,superset  plank
3180,barbell shoulder presses
3181,dumbbell incline bench
3182,standing hammer curl
3183,flat dumbbell flys
3184,dumbbell rear lunge
3185,standing band punch
3186,dumbbell pullovers on swiss ball to crunch
3187,tricep kickbacks
3188,lateral raise
3189,dumbbell lateral raise drop set
3190,upright rows
3191,pushup
3192,extended plank front arm raise 
3193,kettlebell deadlift
3194,kettlebell z press
3195,single leg split squat
3196,leg curl  warmup 80
3197,kettlebell press
3198,superset  cable crossovers
3199,kettlebell walking lunge pass
3200,dumbbell step up
3201,seated chest press machine
3202,barbell shrugs
3203,lying leg curl restpause
3204,bulgarian split squats
3205,incline dumbbell bench press
3206,box squat
3207,ab machine crunch
3208,sled push
3209,standing push press
3210,thai crucifix
3211,dumbbell flye or pec dec restpause
3212,high machine seated row
3213,chair leg raise
3214,superset dumbbell front raise with dumbbell side lateral
3215,two hand snatch  week 1
3216,a2 rear delt rope pull
3217,prone leg raise
3218,optional 1 traps exercise
3219,eccentric push up
3220,3b weighted rearfoot elevated bulgarian split squats
3221,standing dumbbell curls
3222,stiff leg deadlift
3223,speed front squat
3224,feet elevated side plank 
3225,t push ups
3226,skull crusherspressdowns choose 1 rotate weekly
3227,back or front squat
3228,reverse dumbbell fly
3229,heel touches
3230,reverse hypers
3231,ez bar skullcrusher
3232,knee extensions
3233,single arm reverse cable fly
3234,bentover rows
3235,3 second eccentric bench press
3236,rope hammer cable curl
3237,55 of 1rm
3238,kettlebell clean squat and press
3239,set 14
3240,superset  cable crossover
3241,lunge  twist while holding a dumbbell
3242,neutral grip incline bench row
3243,banded good morning
3244,single leg standing leg curl
3245,outer leg machine
3246,closegrip bench press  power
3247,dumbbell step ups
3248,skull crushers
3249,rear delt lateral raise
3250,5b trx leg tucks
3251, supermans on ground no weight
3252,cardio eliptical or tredmill
3253,stability alternates from feet
3254,wall push up
3255,hand grips
3256,bench step up
3257,cable crossover
3258,seated dumbbell extension 2 arm
3259,yraise
3260,leg extensions  working sets
3261,standing cable crossovers
3262,band assisted nordic curls
3263,incline barbell bench press
3264,rope triceps pushdown
3265,supine barbell triceps press 
3266,front raiseupright row superset
3267,sled pull
3268,incline bench curl
3269,superset  dumbbell lunge
3270,standing barbell curls
3271,deficit stiff
3272,standing barbell curl   muscle
3273,neutral grip pullup
3274,tricep pulldown across chest with resistance
3275,superset  two leg dumbbell calf raise
3276,superset closegrip pushup and banded or dumbbell curl
3277,decline abdominal reach weighted
3278,barbell squats
3279,tricep press downs w
3280,pendlay row work sets
3281,resistance band deadlift
3282,chin up bar hang
3283,single arm reverse cable flye
3284,wide grip lat pulldowns
3285,ab bicycle
3286,ez bar closegrip curls
3287,sandbag get up w lumberjack press 
3288,resistance band pull down
3289,medium stone 1 arm put alternate sides
3290,incline alternating dumbbell curl
3291,barbell front squat
3292,suitcase carries
3293,dumbell shrugs
3294,two arm dumbbell row
3295,standing band half crunch
3296,incline bench dumbbell fly
3297,flat barbell bench press use 20 less weight than your previous working sets
3298,walkouts
3299,walking lunge reps are per leg
3300,supine figure 8s to the right
3301,barbell back squat
3302,feet elevated diamond pushups
3303,standing band lateral raise
3304,seated lat row
3305,vbar pushdowns
3306,explosive bentover dumbbell row
3307,stairmaster or stairstepper
3308,shoulder machine press
3309,dips or pushups
3310,kettlebell halo
3311,high kick
3312,pec deck fly
3313,pull ups 
3314,arm circles
3315,lying dumbbell extensionbench stepup
3316,side planks
3317,wide grip pulldowns
3318,parallel bar dip
3319,superset  dumbbell shrugs
3320,incline dumbbell bench press or incline bench press
3321,standing overhead press
3322,tricep cable extension
