,exercise
373,machine row  working sets
374,side plank with cable row 
375,incline skullcrusher
376,seated dumbbell curls
377,upright ez bar row
378,deadlifts  drop 5 cycle
379,flat dumbbell press
380,kettlebell reverse lunge
381,seated cable row  working sets
382,pavlov press  press straight out
383,flat dumbbell bench
384,superset  side lateral raise
385,walkouts 
386,front squat pyramid up
387,superset flat bench dumbbell press with twoarm dumbbell row
388,dumbbell rear delt fly
389,overhead walking lunge
390,power barbell shrug
391,dumbbell single leg deadlift 
392,ez curl bar pullover
393,supermans on ground no weight
394,dip machine
395,decline crunch
396,superset  hammer curls
397,hanging knee raise alternate sides
398,single leg calf press
399,behind the neck snatchgrip push press
400,deadlifts  90
401,plyo pushups
402,half
403,singlearm dumbbell flat bench chest press
404,ring push ups
405,chin extension
406,glute flexor
407,half kneeling medicine ball chest pass
408, 4 set rack drop
409,leg curl  working sets
410,palov press  press straight out
411,standing hamstring curl
412,rear delt machine finish w drop set as 4th set
413,b1 reversegrip chinup
414,stability ball roll
415,hang snatch 
416,cable fly
417,standing overhead dumbbell iso press
418,superset parallel bar dip and inverted row
419,band pullaparts
420,squats drop set
421,ab wheel rollout
422,prone dumbbell front raise
423,free weight squats
424,fast feet
425,standing barbell military press
426,superset  seated cable row
427,glute focused hyperextension
428,alternating band curls hold contractions for 4 seconds
429,side lying rear delt fly
430,bench dips 
431,alternating dumbbell preacher curls
432,standing calf raise holding dumbbell
433,feet elevated push
434,dumbbell shrug
435,standing cable chop 
436,incline dumbbell press and two
437,3 way shoulder raise
438,single arm shoulder press
439,barbell row
440,superset dumbbell hammer curl and dumbbell kickback
441,low back extension
442,dumbbell incline serrano press
443,hammer strength machine bench press
444,single leg press
445,floor press
446,superset  back extension
447,assisted pull up machine
448,singlearm landmine press
449,tricep band push downs or bench tri
450,superset
451,dumbbell rear delt lateral raise
452,bench pressdumbbell fly superset
453,modified hamstring raise
454,incline single arm chest fly
455,med ball v up
456,pikes
457,thai plank
458,single arm db row
459,body squat or jump squat
460,cable rope hammer curl
461,ez bar lying tricep extension
462,superset incline dumbbell press or banded chest press and wide grip pullup
463,dips w
464,rope tricep pressdown
465,dumbbell sumo squats
466,seated neutral grip band rows
467,romanian deadlift  power
468,meadow rows
469,assisted chin up 
470,superset pike press and jumping jacks
471,decline weighted crunch
472,interval training  choose any form of cardio for a total of 14 minutes
473,straight leg raises
